Theta,Phi,Value
2.04204,3.14159,0
2.19911,0,0
2.19911,0.0785398,0
2.19911,0.15708,0
2.19911,0.235619,0
2.19911,0.314159,0
2.19911,0.392699,0
2.19911,0.471239,0
2.19911,0.549779,0
2.19911,0.628319,0
2.19911,0.706858,0
2.19911,0.785398,0
2.19911,0.863938,0
2.19911,0.942478,0
2.19911,1.02102,0
2.19911,1.09956,0
2.19911,1.1781,0
2.19911,1.25664,0
2.19911,1.33518,0
2.19911,1.41372,0
2.19911,1.49226,0
2.19911,1.5708,0
2.19911,1.64934,0
2.19911,1.72788,0
2.19911,1.80642,0
2.19911,1.88496,0
2.19911,1.9635,0
2.19911,2.04204,0
2.19911,2.12058,0
2.19911,2.19911,0
2.19911,2.27765,0
2.19911,2.35619,0
2.19911,2.43473,0
2.19911,2.51327,0
2.19911,2.59181,0
2.19911,2.67035,0
2.19911,2.74889,0
2.19911,2.82743,0
2.19911,2.90597,0
2.19911,2.98451,0
2.19911,3.06305,0
2.19911,3.14159,0
2.35619,0,0
2.35619,0.0785398,0
2.35619,0.15708,0
2.35619,0.235619,0
2.35619,0.314159,0
2.35619,0.392699,0
2.35619,0.471239,0
2.35619,0.549779,0
2.35619,0.628319,0
2.35619,0.706858,0
2.35619,0.785398,0
2.35619,0.863938,0
2.35619,0.942478,0
2.35619,1.02102,0
2.35619,1.09956,0
2.35619,1.1781,0
2.35619,1.25664,0
2.35619,1.33518,0
2.35619,1.41372,0
2.35619,1.49226,0
2.35619,1.5708,0
2.35619,1.64934,0
2.35619,1.72788,0
2.35619,1.80642,0
2.35619,1.88496,0
2.35619,1.9635,0
2.35619,2.04204,0
2.35619,2.12058,0
2.35619,2.19911,0
2.35619,2.27765,0
2.35619,2.35619,0
2.35619,2.43473,0
2.35619,2.51327,0
2.35619,2.59181,0
2.35619,2.67035,0
2.35619,2.74889,0
2.35619,2.82743,0
2.35619,2.90597,0
2.35619,2.98451,0
2.35619,3.06305,0
2.35619,3.14159,0
2.51327,0,0
2.51327,0.0785398,0
2.51327,0.15708,0
2.51327,0.235619,0
2.51327,0.314159,0
2.51327,0.392699,0
2.51327,0.471239,0
2.51327,0.549779,0
2.51327,0.628319,0
2.51327,0.706858,0
2.51327,0.785398,0
2.51327,0.863938,0
2.51327,0.942478,0
2.51327,1.02102,0.035728
2.51327,1.09956,0.035728
2.51327,1.1781,0.184428
2.51327,1.25664,0.299464
2.51327,1.33518,0.412583
2.51327,1.41372,0.515219
2.51327,1.49226,0.592082
2.51327,1.5708,0.62175
2.51327,1.64934,0.592082
2.51327,1.72788,0.515219
2.51327,1.80642,0.412583
2.51327,1.88496,0.299464
2.51327,1.9635,0.184428
2.51327,2.04204,0.035728
2.51327,2.12058,0
2.51327,2.19911,0
2.51327,2.27765,0
2.51327,2.35619,0
2.51327,2.43473,0
2.51327,2.51327,0
2.51327,2.59181,0
2.51327,2.67035,0
2.51327,2.74889,0
2.51327,2.82743,0
2.51327,2.90597,0
2.51327,2.98451,0
2.51327,3.06305,0
2.51327,3.14159,0
2.67035,0,0
2.67035,0.0785398,0
2.67035,0.15708,0
2.67035,0.235619,0
2.67035,0.314159,0
2.67035,0.392699,0
2.67035,0.471239,0
2.67035,0.549779,0
2.67035,0.628319,0
2.67035,0.706858,0
2.67035,0.785398,0
2.67035,0.863938,0
2.67035,0.942478,0
2.67035,1.02102,0.035728
2.67035,1.09956,0.206338
2.67035,1.1781,0.241241
2.67035,1.25664,0.385646
2.67035,1.33518,0.497327
2.67035,1.41372,0.644642
2.67035,1.49226,0.769741
2.67035,1.5708,0.809681
2.67035,1.64934,0.769741
2.67035,1.72788,0.644642
2.67035,1.80642,0.497327
2.67035,1.88496,0.385646
2.67035,1.9635,0.241241
2.67035,2.04204,0.171987
2.67035,2.12058,0.0486729
2.67035,2.19911,0
2.67035,2.27765,0
2.67035,2.35619,0
2.67035,2.43473,0
2.67035,2.51327,0
2.67035,2.59181,0
2.67035,2.67035,0
2.67035,2.74889,0
2.67035,2.82743,0
2.67035,2.90597,0
2.67035,2.98451,0
2.67035,3.06305,0
2.67035,3.14159,0
2.82743,0,0
2.82743,0.0785398,0
2.82743,0.15708,0
2.82743,0.235619,0
2.82743,0.314159,0
2.82743,0.392699,0
2.82743,0.471239,0
2.82743,0.549779,0
2.82743,0.628319,0
2.82743,0.706858,0
2.82743,0.785398,0
2.82743,0.863938,0
2.82743,0.942478,0
2.82743,1.02102,0
2.82743,1.09956,0.24016
2.82743,1.1781,0.395486
2.82743,1.25664,0.444484
2.82743,1.33518,0.528737
2.82743,1.41372,0.68735
2.82743,1.49226,0.816948
2.82743,1.5708,0.882718
2.82743,1.64934,0.816948
2.82743,1.72788,0.68735
2.82743,1.80642,0.528737
2.82743,1.88496,0.41817
2.82743,1.9635,0.398245
2.82743,2.04204,0.237751
2.82743,2.12058,0
2.82743,2.19911,0
2.82743,2.27765,0
2.82743,2.35619,0
2.82743,2.43473,0
2.82743,2.51327,0
2.82743,2.59181,0
2.82743,2.67035,0
2.82743,2.74889,0
2.82743,2.82743,0
2.82743,2.90597,0
2.82743,2.98451,0
2.82743,3.06305,0
2.82743,3.14159,0
2.98451,0,0
2.98451,0.0785398,0
2.98451,0.15708,0
2.98451,0.235619,0
2.98451,0.314159,0
2.98451,0.392699,0
2.98451,0.471239,0
2.98451,0.549779,0
2.98451,0.628319,0
2.98451,0.706858,0
2.98451,0.785398,0
2.98451,0.863938,0
2.98451,0.942478,0
2.98451,1.02102,0
2.98451,1.09956,0
2.98451,1.1781,0
2.98451,1.25664,0.487157
2.98451,1.33518,0.50941
2.98451,1.41372,0.640966
2.98451,1.49226,0.756664
2.98451,1.5708,0.811529
2.98451,1.64934,0.756664
2.98451,1.72788,0.640966
2.98451,1.80642,0.50941
2.98451,1.88496,0.464917
2.98451,1.9635,0
2.98451,2.04204,0
2.98451,2.12058,0
2.98451,2.19911,0
2.98451,2.27765,0
2.98451,2.35619,0
2.98451,2.43473,0
2.98451,2.51327,0
2.98451,2.59181,0
2.98451,2.67035,0
2.98451,2.74889,0
2.98451,2.82743,0
2.98451,2.90597,0
2.98451,2.98451,0
2.98451,3.06305,0
2.98451,3.14159,0
3.14159,0,0
3.14159,0.0785398,0
3.14159,0.15708,0
3.14159,0.235619,0
3.14159,0.314159,0
3.14159,0.392699,0
3.14159,0.471239,0
3.14159,0.549779,0
3.14159,0.628319,0
3.14159,0.706858,0
3.14159,0.785398,0
3.14159,0.863938,0
3.14159,0.942478,0
3.14159,1.02102,0
3.14159,1.09956,0
3.14159,1.1781,0
3.14159,1.25664,0
3.14159,1.33518,0
3.14159,1.41372,0
3.14159,1.49226,0
3.14159,1.5708,0
3.14159,1.64934,0
3.14159,1.72788,0
3.14159,1.80642,0
3.14159,1.88496,0
3.14159,1.9635,0
3.14159,2.04204,0
3.14159,2.12058,0
3.14159,2.19911,0
3.14159,2.27765,0
3.14159,2.35619,0
3.14159,2.43473,0
3.14159,2.51327,0
3.14159,2.59181,0
3.14159,2.67035,0
3.14159,2.74889,0
