Theta,Phi,Value
1.88496,1.9635,0
1.88496,2.04204,0
1.88496,2.12058,0
1.88496,2.19911,0
1.88496,2.27765,0
1.88496,2.35619,0
1.88496,2.43473,0
1.88496,2.51327,0
1.88496,2.59181,0
1.88496,2.67035,0
1.88496,2.74889,0
1.88496,2.82743,0
1.88496,2.90597,0
1.88496,2.98451,0
1.88496,3.06305,0
1.88496,3.14159,0
2.04204,0,0.690397
2.04204,0.0785398,0.690397
2.04204,0.15708,0.608483
2.04204,0.235619,0.608483
2.04204,0.314159,0.542196
2.04204,0.392699,0.219569
2.04204,0.471239,0.175208
2.04204,0.549779,0.142457
2.04204,0.628319,0.124048
2.04204,0.706858,0
2.04204,0.785398,0
2.04204,0.863938,0
2.04204,0.942478,0
2.04204,1.02102,0
2.04204,1.09956,0
2.04204,1.1781,0
2.04204,1.25664,0
2.04204,1.33518,0
2.04204,1.41372,0
2.04204,1.49226,0
2.04204,1.5708,0
2.04204,1.64934,0
2.04204,1.72788,0
2.04204,1.80642,0
2.04204,1.88496,0
2.04204,1.9635,0
2.04204,2.04204,0
2.04204,2.12058,0
2.04204,2.19911,0
2.04204,2.27765,0
2.04204,2.35619,0
2.04204,2.43473,0
2.04204,2.51327,0
2.04204,2.59181,0
2.04204,2.67035,0
2.04204,2.74889,0
2.04204,2.82743,0
2.04204,2.90597,0
2.04204,2.98451,0
2.04204,3.06305,0
2.04204,3.14159,0
2.19911,0,0.190227
2.19911,0.0785398,0.62198
2.19911,0.15708,0.62198
2.19911,0.235619,0.597346
2.19911,0.314159,0.295034
2.19911,0.392699,0.245355
2.19911,0.471239,0.198447
2.19911,0.549779,0.124048
2.19911,0.628319,0.124048
2.19911,0.706858,0
2.19911,0.785398,0
2.19911,0.863938,0
2.19911,0.942478,0
2.19911,1.02102,0
2.19911,1.09956,0
2.19911,1.1781,0
2.19911,1.25664,0
2.19911,1.33518,0
2.19911,1.41372,0
2.19911,1.49226,0
2.19911,1.5708,0
2.19911,1.64934,0
2.19911,1.72788,0
2.19911,1.80642,0
2.19911,1.88496,0
2.19911,1.9635,0
2.19911,2.04204,0
2.19911,2.12058,0
2.19911,2.19911,0
2.19911,2.27765,0
2.19911,2.35619,0
2.19911,2.43473,0
2.19911,2.51327,0
2.19911,2.59181,0
2.19911,2.67035,0
2.19911,2.74889,0
2.19911,2.82743,0
2.19911,2.90597,0
2.19911,2.98451,0
2.19911,3.06305,0
2.19911,3.14159,0
2.35619,0,0
2.35619,0.0785398,0.177265
2.35619,0.15708,0.609572
2.35619,0.235619,0.375618
2.35619,0.314159,0.320826
2.35619,0.392699,0.268669
2.35619,0.471239,0.219618
2.35619,0.549779,0.143349
2.35619,0.628319,0.0927971
2.35619,0.706858,0.0927971
2.35619,0.785398,0
2.35619,0.863938,0
2.35619,0.942478,0
2.35619,1.02102,0
2.35619,1.09956,0
2.35619,1.1781,0
2.35619,1.25664,0
2.35619,1.33518,0
2.35619,1.41372,0
2.35619,1.49226,0
2.35619,1.5708,0
2.35619,1.64934,0
2.35619,1.72788,0
2.35619,1.80642,0
2.35619,1.88496,0
2.35619,1.9635,0
2.35619,2.04204,0
2.35619,2.12058,0
2.35619,2.19911,0
