Theta,Phi,Value
1.5708,0.15708,1.11022e-16
1.5708,0.235619,1.11022e-16
1.5708,0.314159,1.11022e-16
1.5708,0.392699,1.11022e-16
1.5708,0.471239,1.11022e-16
1.5708,0.549779,5.55112e-17
1.5708,0.628319,5.55112e-17
1.5708,0.706858,5.55112e-17
1.5708,0.785398,5.55112e-17
1.5708,0.863938,5.55112e-17
1.5708,0.942478,5.55112e-17
1.5708,1.02102,2.77556e-17
1.5708,1.09956,2.77556e-17
1.5708,1.1781,0
1.5708,1.25664,0
1.5708,1.33518,0
1.5708,1.41372,0
1.5708,1.49226,0
1.5708,1.5708,0
1.5708,1.64934,0
1.5708,1.72788,0
1.5708,1.80642,0
1.5708,1.88496,0
1.5708,1.9635,0
1.5708,2.04204,0
1.5708,2.12058,0
1.5708,2.19911,0
1.5708,2.27765,0
1.5708,2.35619,0
1.5708,2.43473,0
1.5708,2.51327,0
1.5708,2.59181,0
1.5708,2.67035,0
1.5708,2.74889,0
1.5708,2.82743,0
1.5708,2.90597,0
1.5708,2.98451,0
1.5708,3.06305,0
1.5708,3.14159,0
1.72788,0,0
1.72788,0.0785398,-0.208364
1.72788,0.15708,-0.20444
1.72788,0.235619,-0.199916
1.72788,0.314159,-0.180208
1.72788,0.392699,-0.153149
1.72788,0.471239,-0.146832
1.72788,0.549779,-0.148445
1.72788,0.628319,-0.104323
1.72788,0.706858,-0.105643
1.72788,0.785398,-0.104908
1.72788,0.863938,-0.101464
1.72788,0.942478,-0.096648
1.72788,1.02102,-0.0896837
1.72788,1.09956,-0.0879663
1.72788,1.1781,0
1.72788,1.25664,0
1.72788,1.33518,0
1.72788,1.41372,0
1.72788,1.49226,0
1.72788,1.5708,0
1.72788,1.64934,0
1.72788,1.72788,0
1.72788,1.80642,0
1.72788,1.88496,0
1.72788,1.9635,0
1.72788,2.04204,0
1.72788,2.12058,0
1.72788,2.19911,0
1.72788,2.27765,0
1.72788,2.35619,0
1.72788,2.43473,0
1.72788,2.51327,0
1.72788,2.59181,0
1.72788,2.67035,0
1.72788,2.74889,0
1.72788,2.82743,0
1.72788,2.90597,0
1.72788,2.98451,0
1.72788,3.06305,0
1.72788,3.14159,0
1.88496,0,-0.303061
1.88496,0.0785398,-0.439573
1.88496,0.15708,-0.3528
1.88496,0.235619,-0.359446
1.88496,0.314159,-0.34907
1.88496,0.392699,-0.309616
1.88496,0.471239,-0.307322
1.88496,0.549779,-0.282143
1.88496,0.628319,0
1.88496,0.706858,0
1.88496,0.785398,0
1.88496,0.863938,0
1.88496,0.942478,0
1.88496,1.02102,0
1.88496,1.09956,0
1.88496,1.1781,0
1.88496,1.25664,0
1.88496,1.33518,0
1.88496,1.41372,0
1.88496,1.49226,0
1.88496,1.5708,0
1.88496,1.64934,0
1.88496,1.72788,0
1.88496,1.80642,0
1.88496,1.88496,0
1.88496,1.9635,0
1.88496,2.04204,0
1.88496,2.12058,0
1.88496,2.19911,0
1.88496,2.27765,0
1.88496,2.35619,0
1.88496,2.43473,0
1.88496,2.51327,0
1.88496,2.59181,0
1.88496,2.67035,0
1.88496,2.74889,0
1.88496,2.82743,0
1.88496,2.90597,0
1.88496,2.98451,0
1.88496,3.06305,0
1.88496,3.14159,0
2.04204,0,-0.614576
2.04204,0.0785398,-0.614576
2.04204,0.15708,-0.541659
2.04204,0.235619,-0.541659
2.04204,0.314159,-0.482652
2.04204,0.392699,-0.195455
2.04204,0.471239,-0.155967
2.04204,0.549779,-0.126812
2.04204,0.628319,-0.110425
2.04204,0.706858,0
2.04204,0.785398,0
2.04204,0.863938,0
2.04204,0.942478,0
2.04204,1.02102,0
2.04204,1.09956,0
2.04204,1.1781,0
2.04204,1.25664,0
2.04204,1.33518,0
2.04204,1.41372,0
2.04204,1.49226,0
2.04204,1.5708,0
2.04204,1.64934,0
2.04204,1.72788,0
2.04204,1.80642,0
2.04204,1.88496,0
2.04204,1.9635,0
2.04204,2.04204,0
2.04204,2.12058,0
2.04204,2.19911,0
2.04204,2.27765,0
2.04204,2.35619,0
2.04204,2.43473,0
2.04204,2.51327,0
2.04204,2.59181,0
2.04204,2.67035,0
2.04204,2.74889,0
2.04204,2.82743,0
2.04204,2.90597,0
2.04204,2.98451,0
2.04204,3.06305,0
2.04204,3.14159,0
2.19911,0,-0.219241
2.19911,0.0785398,-0.716845
2.19911,0.15708,-0.716845
2.19911,0.235619,-0.688455
2.19911,0.314159,-0.340033
2.19911,0.392699,-0.282777
2.19911,0.471239,-0.228715
2.19911,0.549779,-0.142968
2.19911,0.628319,-0.142968
2.19911,0.706858,0
2.19911,0.785398,0
2.19911,0.863938,0
2.19911,0.942478,0
2.19911,1.02102,0
2.19911,1.09956,0
2.19911,1.1781,0
2.19911,1.25664,0
2.19911,1.33518,0
2.19911,1.41372,0
2.19911,1.49226,0
2.19911,1.5708,0
2.19911,1.64934,0
2.19911,1.72788,0
2.19911,1.80642,0
2.19911,1.88496,0
2.19911,1.9635,0
2.19911,2.04204,0
2.19911,2.12058,0
2.19911,2.19911,0
2.19911,2.27765,0
2.19911,2.35619,0
2.19911,2.43473,0
2.19911,2.51327,0
2.19911,2.59181,0
2.19911,2.67035,0
2.19911,2.74889,0
2.19911,2.82743,0
2.19911,2.90597,0
2.19911,2.98451,0
2.19911,3.06305,0
2.19911,3.14159,0
2.35619,0,0
2.35619,0.0785398,-0.245776
2.35619,0.15708,-0.845162
2.35619,0.235619,-0.520789
2.35619,0.314159,-0.444821
2.35619,0.392699,-0.372505
2.35619,0.471239,-0.304498
2.35619,0.549779,-0.198751
2.35619,0.628319,-0.128662
2.35619,0.706858,-0.128662
2.35619,0.785398,0
2.35619,0.863938,0
2.35619,0.942478,0
2.35619,1.02102,0
2.35619,1.09956,0
2.35619,1.1781,0
2.35619,1.25664,0
2.35619,1.33518,0
2.35619,1.41372,0
2.35619,1.49226,0
2.35619,1.5708,0
2.35619,1.64934,0
2.35619,1.72788,0
2.35619,1.80642,0
2.35619,1.88496,0
2.35619,1.9635,0
2.35619,2.04204,0
2.35619,2.12058,0
2.35619,2.19911,0
2.35619,2.27765,0
2.35619,2.35619,0
2.35619,2.43473,0
2.35619,2.51327,0
2.35619,2.59181,0
2.35619,2.67035,0
2.35619,2.74889,0
2.35619,2.82743,0
2.35619,2.90597,0
2.35619,2.98451,0
2.35619,3.06305,0
2.35619,3.14159,0
2.51327,0,0
2.51327,0.0785398,-0.777053
2.51327,0.15708,-0.685772
2.51327,0.235619,-0.571136
2.51327,0.314159,-0.484442
2.51327,0.392699,-0.484442
2.51327,0.471239,-0.377848
2.51327,0.549779,-0.303154
2.51327,0.628319,-0.170793
2.51327,0.706858,-0.0955958
2.51327,0.785398,-0.0955958
2.51327,0.863938,-0.0300526
2.51327,0.942478,0
2.51327,1.02102,0
2.51327,1.09956,0
2.51327,1.1781,0
2.51327,1.25664,0
2.51327,1.33518,0
2.51327,1.41372,0
2.51327,1.49226,0
2.51327,1.5708,0
2.51327,1.64934,0
2.51327,1.72788,0
2.51327,1.80642,0
2.51327,1.88496,0
2.51327,1.9635,0
2.51327,2.04204,0
2.51327,2.12058,0
2.51327,2.19911,0
2.51327,2.27765,0
2.51327,2.35619,0
2.51327,2.43473,0
2.51327,2.51327,0
2.51327,2.59181,0
2.51327,2.67035,0
2.51327,2.74889,0
2.51327,2.82743,0
2.51327,2.90597,0
2.51327,2.98451,0
2.51327,3.06305,0
2.51327,3.14159,0
2.67035,0,0
2.67035,0.0785398,-1.10745
2.67035,0.15708,-1.08327
2.67035,0.235619,-0.728865
2.67035,0.314159,-0.599012
2.67035,0.392699,-0.566948
2.67035,0.471239,-0.443341
2.67035,0.549779,-0.359588
2.67035,0.628319,-0.256552
2.67035,0.706858,-0.165529
2.67035,0.785398,-0.0858128
2.67035,0.863938,0
2.67035,0.942478,0
2.67035,1.02102,0
2.67035,1.09956,0
2.67035,1.1781,0
2.67035,1.25664,0
2.67035,1.33518,0
2.67035,1.41372,0
2.67035,1.49226,0
2.67035,1.5708,0
2.67035,1.64934,0
2.67035,1.72788,0
2.67035,1.80642,0
2.67035,1.88496,0
2.67035,1.9635,0
2.67035,2.04204,0
2.67035,2.12058,0
2.67035,2.19911,0
2.67035,2.27765,0
2.67035,2.35619,0
2.67035,2.43473,0
2.67035,2.51327,0
2.67035,2.59181,0
2.67035,2.67035,0
2.67035,2.74889,0
2.67035,2.82743,0
2.67035,2.90597,0
2.67035,2.98451,0
2.67035,3.06305,0
2.67035,3.14159,0
2.82743,0,0
2.82743,0.0785398,-1.15628
2.82743,0.15708,-1.15628
2.82743,0.235619,-0.85626
2.82743,0.314159,-0.710111
2.82743,0.392699,-0.672269
2.82743,0.471239,-0.532954
2.82743,0.549779,-0.459607
2.82743,0.628319,-0.34087
2.82743,0.706858,-0.236502
2.82743,0.785398,-0.122226
2.82743,0.863938,-0.0999844
2.82743,0.942478,0
2.82743,1.02102,0
2.82743,1.09956,0
2.82743,1.1781,0
2.82743,1.25664,0
2.82743,1.33518,0
2.82743,1.41372,0
2.82743,1.49226,0
2.82743,1.5708,0
2.82743,1.64934,0
2.82743,1.72788,0
2.82743,1.80642,0
2.82743,1.88496,0
2.82743,1.9635,0
2.82743,2.04204,0
2.82743,2.12058,0
2.82743,2.19911,0
2.82743,2.27765,0
2.82743,2.35619,0
2.82743,2.43473,0
2.82743,2.51327,0
2.82743,2.59181,0
2.82743,2.67035,0
2.82743,2.74889,0
2.82743,2.82743,0
2.82743,2.90597,0
2.82743,2.98451,0
2.82743,3.06305,0
2.82743,3.14159,0
2.98451,0,0
2.98451,0.0785398,0
2.98451,0.15708,-0.889241
2.98451,0.235619,-0.851933
2.98451,0.314159,-0.811092
2.98451,0.392699,-0.723052
2.98451,0.471239,-0.574032
2.98451,0.549779,-0.49214
2.98451,0.628319,-0.45267
2.98451,0.706858,-0.342577
2.98451,0.785398,-0.239477
2.98451,0.863938,-0.210857
2.98451,0.942478,0
2.98451,1.02102,0
2.98451,1.09956,0
2.98451,1.1781,0
2.98451,1.25664,0
2.98451,1.33518,0
2.98451,1.41372,0
2.98451,1.49226,0
2.98451,1.5708,0
2.98451,1.64934,0
2.98451,1.72788,0
2.98451,1.80642,0
2.98451,1.88496,0
2.98451,1.9635,0
2.98451,2.04204,0
2.98451,2.12058,0
2.98451,2.19911,0
2.98451,2.27765,0
2.98451,2.35619,0
2.98451,2.43473,0
2.98451,2.51327,0
2.98451,2.59181,0
2.98451,2.67035,0
2.98451,2.74889,0
2.98451,2.82743,0
2.98451,2.90597,0
2.98451,2.98451,0
2.98451,3.06305,0
2.98451,3.14159,0
3.14159,0,-1.07228
3.14159,0.0785398,-1.0497
3.14159,0.15708,-1.01939
3.14159,0.235619,-0.940723
3.14159,0.314159,-0.895125
3.14159,0.392699,-0.797643
3.14159,0.471239,-0.698178
3.14159,0.549779,-0.601966
3.14159,0.628319,-0.511939
3.14159,0.706858,-0.429418
3.14159,0.785398,-0.354717
3.14159,0.863938,-0.32023
3.14159,0.942478,0
3.14159,1.02102,0
3.14159,1.09956,0
3.14159,1.1781,0
3.14159,1.25664,0
3.14159,1.33518,0
3.14159,1.41372,0
3.14159,1.49226,0
3.14159,1.5708,0
3.14159,1.64934,0
3.14159,1.72788,0
3.14159,1.80642,0
3.14159,1.88496,0
3.14159,1.9635,0
3.14159,2.04204,0
3.14159,2.12058,0
3.14159,2.19911,0
3.14159,2.27765,0
3.14159,2.35619,0
3.14159,2.43473,0
3.14159,2.51327,0
3.14159,2.59181,0
3.14159,2.67035,0
3.14159,2.74889,0
3.14159,2.82743,0
3.14159,2.90597,0
3.14159,2.98451,0
3.14159,3.06305,0
3.14159,3.14159,0
3.29867,0,1.05908
3.29867,0.0785398,1.27033
3.29867,0.15708,1.21809
3.29867,0.235619,1.00508
3.29867,0.314159,0.903822
3.29867,0.392699,0.850881
3.29867,0.471239,0.797749
3.29867,0.549779,0.690995
3.29867,0.628319,0.640229
3.29867,0.706858,0.501446
3.29867,0.785398,0.453424
3.29867,0.863938,0.414681
3.29867,0.942478,0
3.29867,1.02102,0
3.29867,1.09956,0
3.29867,1.1781,0
3.29867,1.25664,0
3.29867,1.33518,0
3.29867,1.41372,0
3.29867,1.49226,0
3.29867,1.5708,0
3.29867,1.64934,0
3.29867,1.72788,0
3.29867,1.80642,0
3.29867,1.88496,0
3.29867,1.9635,0
3.29867,2.04204,0
3.29867,2.12058,0
3.29867,2.19911,0
3.29867,2.27765,0
3.29867,2.35619,0
3.29867,2.43473,0
3.29867,2.51327,0
3.29867,2.59181,0
3.29867,2.67035,0
3.29867,2.74889,0
3.29867,2.82743,0
3.29867,2.90597,0
3.29867,2.98451,0
3.29867,3.06305,0
3.29867,3.14159,0
3.45575,0,0
3.45575,0.0785398,1.25422
3.45575,0.15708,1.21527
3.45575,0.235619,1.01186
3.45575,0.314159,0.986656
3.45575,0.392699,0.932545
3.45575,0.471239,0.8173
3.45575,0.549779,0.761877
3.45575,0.628319,0.695518
3.45575,0.706858,0.629093
3.45575,0.785398,0.537761
3.45575,0.863938,0.482381
3.45575,0.942478,0
3.45575,1.02102,0
3.45575,1.09956,0
3.45575,1.1781,0
3.45575,1.25664,0
3.45575,1.33518,0
3.45575,1.41372,0
3.45575,1.49226,0
3.45575,1.5708,0
3.45575,1.64934,0
3.45575,1.72788,0
3.45575,1.80642,0
3.45575,1.88496,0
